name,gpu_score
693,glenfly arise-gt-10c0,1007.0
694,grid gtx p40-6,4340.0
695,grid k1,651.0
696,grid k120q,293.0
697,grid k140q,728.0
698,grid k160q,628.0
699,grid k180q,534.0
700,grid k2,2737.0
701,grid k220q,912.0
702,grid k240q,2541.0
703,grid k260q,2949.0
704,grid k280q,2840.0
705,grid k520,3516.0
706,grid m10-0b,871.0
707,grid m10-0q,796.0
708,grid m10-1b,2310.0
709,grid m10-1q,3351.0
710,grid m10-2b,2363.0
711,grid m10-2q,2692.0
712,grid m10-4q,2977.0
713,grid m10-8q,1756.0
714,grid m6-0b,912.0
715,grid m6-1q,2069.0
716,grid m6-8q,3568.0
717,grid m60-0b,1838.0
718,grid m60-0q,827.0
719,grid m60-1b,4457.0
720,grid m60-1q,3695.0
721,grid m60-2q,5203.0
722,grid m60-4q,3831.0
723,grid m60-8a,5523.0
724,grid m60-8q,3884.0
725,grid p100-16q,5945.0
726,grid p100-1b,2223.0
727,grid p100-8q,3267.0
728,grid p4-1b,2151.0
729,grid p4-1q,375.0
730,grid p4-4q,6843.0
731,grid p4-8a,3206.0
732,grid p4-8q,6733.0
733,grid p40-12q,11028.0
734,grid p40-1a,4909.0
735,grid p40-24q,8719.0
736,grid p40-2b,9842.0
737,grid p40-2b4,9111.0
738,grid p40-2q,4844.0
739,grid p40-3q,681.0
740,grid p40-4q,5365.0
741,grid p40-6q,905.0
742,grid p40-8q,7432.0
743,grid p6-2q,3926.0
744,grid p6-4a,2639.0
745,grid p6-4q,4429.0
746,grid rtx6000-1b,8473.0
747,grid rtx6000-6q,21987.0
748,grid rtx6000p-4q,4283.0
749,grid rtx6000p-6q,4777.0
750,grid rtx8000-2q,3574.0
751,grid rtx8000-4q,3961.0
752,grid rtx8000p-12a,4166.0
753,grid rtx8000p-2q,3843.0
754,grid rtx8000p-4q,5174.0
755,grid t4-16q,5055.0
756,grid t4-1q,3303.0
757,grid t4-2b,2601.0
758,grid t4-2q,3451.0
759,grid t4-4q,3260.0
760,grid t4-8q,5680.0
761,grid v100-2q,3811.0
762,grid v100-8q,16.0
763,grid v100d-2q,4668.0
764,grid v100d-8q,4156.0
765,gt 430,223.0
766,incredible hd,389.0
767,incredible hd 3000,291.0
768,incredible hd 4000,517.0
769,incredible hd 4600,750.0
770,intel - express chipset g41,57.0
771,intel - express chipset q45/q43,58.0
772,intel 2nd generation sandybridge hd,169.0
773,intel 2nd generation sandybridge hd 3000,205.0
774,intel 3rd generation ivybridge hd gt1,161.0
775,intel 4th generation haswell hd,420.0
776,intel 82845g controller,2.0
777,intel 82845g/gl controller,3.0
778,intel 82845g/gl/ge/pe/gv controller,3.0
779,intel 82852/82855 gm/gme controller,1.0
780,intel 82865g controller,5.0
781,intel 82915g express,6.0
782,intel 82915g/915gv/910gl,4.0
783,intel 82915g/gv/910gl advanced v3.5,3.0
784,intel 82915g/gv/910gl express,3.0
785,intel 82945g express,11.0
786,intel 82945g express-chipsatzfamilie,8.0
787,intel 865 embedded controller,4.0
788,"intel 915g,910g express",4.0
789,intel 915g/915gv/910gl embedded controller functio,5.0
790,intel 945g embedded chipset function 0,5.0
791,intel 946gz embedded chipset,3.0
792,intel 946gz express,3.0
793,intel arc,5241.0
794,intel arc 130v gpu,4425.0
795,intel arc 140v gpu,5095.0
796,intel arc a310,5492.0
797,intel arc a310 lp,4676.0
798,intel arc a370m,5115.0
799,intel arc a380,6206.0
800,intel arc a530m,6708.0
801,intel arc a580,11649.0
802,intel arc a730m,10488.0
803,intel arc a750,11951.0
804,intel arc a770,12982.0
805,intel arc a770m,11578.0
806,intel arc pro,5477.0
807,intel arc pro a30m,5862.0
808,intel arc pro a60,9301.0
809,intel b43 express chipset,138.0
810,intel coffee lake uhd,1158.0
811,intel extreme controller,2.0
812,intel g33/g31 express,46.0
813,intel g35 express,2097.0
814,intel g41 express chipset,126.0
815,intel g41 express-chipsatz,57.0
816,intel g45/g43 express chipset,122.0
817,intel g45/g43/g41 express chipset,68.0
818,intel g965 express,223.0
819,intel gma 3150 express,3.0
820,intel graphics,3150.0
821,intel haswell hd - gt1,123.0
822,intel haswell hd - gt2,139.0
823,intel hd 2000,213.0
824,intel hd 3000,258.0
825,intel hd 4000,346.0
826,intel hd 4400,522.0
827,intel hd 4600,628.0
